Variable Name,Variable Label,Type,Format,Role,Description
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.
DOMAIN,Domain Abbreviation,Char,,Identifier,"2-character abbreviation for the domain, which must be ""SJ""."
USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
SJSEQ,Sequence Number,Num,,Identifier,Sequence number to ensure uniqueness within the dataset. Should be assigned to be in a consistent chronological order.
RSTGCD,Repro Stage Code,Char,,Topic,Short name of the Repro Stage used for programming and sorting. Maximum 8 characters.
RSTAGE,Description of Repro Stage,Char,,Synonym Qualifier of RSTGCD,"The name of the Repro Stage. If RSTGCD has a value of ""UNPLAN"" then RSTAGE should be null."
SJSTDTC,Start Date/Time of Repro Stage,Char,ISO 8601,Timing,Start date or start date and time for a Repro Stage for each subject.
SJENDTC,End Date/Time of Repro Stage,Char,ISO 8601,Timing,End date/time for a Repro Stage for each subject.
RPHASE,Repro Phase,Char,,Timing,Name of the reproductive phase with which this Repro Stage of the Repro Path is associated.
SJUPDES,Description of Unplanned Repro Stage,Char,,Synonym Qualifier of RSTGCD,"Description of what happened to the subject during an unplanned Repro Stage. Used only if RSTGCD has the value of ""UNPLAN""."
