Variable Name,Variable Label,Type,Format,Role,Description
STUDYID,Study Identifier,Char,,Identifier,Unique identifier for a study.
DOMAIN,Domain Abbreviation,Char,,Identifier,"2-character abbreviation for the domain, which must be ""SE""."
USUBJID,Unique Subject Identifier,Char,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.
SESEQ,Sequence Number,Num,,Identifier,Sequence number to ensure uniqueness within the dataset. Should be assigned to be in a consistent chronological order.
ETCD,Element Code,Char,,Topic,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name."
ELEMENT,Description of Element,Char,,Synonym Qualifier of ETCD,"The name of the Element. If ETCD has a value of ""UNPLAN"" then ELEMENT should be null."
TAETORD,Planned Order of Element within Arm,Num,,Timing,Number that gives the planned order of the Element within the subject's assigned Arm.
EPOCH,Epoch,Char,,Timing,Epoch associated with the Element in the planned sequence of Elements for the Arm to which the subject was assigned.
SESTDTC,Start Date/Time of Element,Char,ISO 8601,Timing,Start date or start date and time for an Element for each subject.
SEENDTC,End Date/Time of Element,Char,ISO 8601,Timing,End date/time of an Element for each subject.
SEUPDES,Description of Unplanned Element,Char,,Synonym Qualifier of ETCD,"Description of what happened to the subject during an unplanned Element. Used only if ETCD has the value of ""UNPLAN""."
